Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
4h-WCL6NCK4,PASCAL - Open Your Eyes,"May 31, 2025",215,2,0.027,0,7,14.29
bIKZ11_JORk,Mike Perry - Body On Me feat. NEA EINI,"Apr 19, 2022",180,2,0.0149,0,24,8.33
DuPhnV70y2M,G Eazy - Hate The Way (Lyrics) feat. Blackbear,"Oct 16, 2020",215,2,0.0137,0,18,0
d7b7ccdgKog,Abandoned & InfiNoise - Used To Love feat. Veronica Bravo (Lyrics),"Aug 11, 2019",326,2,0.2618,0,8,12.5
YrO4sB3hWQE,Taylor Edwards - Mean To Me,"Dec 29, 2021",169,2,0.0531,0,26,3.85
FVBgGnWVvIg,Erin Kirby - Half In Love (Lyrics),"Jul 28, 2020",197,2,0.0555,0,12,8.33
rmvcfoOwX10,"New Chillout Music Mix | Fresh Music Mix [We Are Diamond] (LO, Mauve, KYDS, NLSN, Colin, SRTW)","Aug 23, 2020",914,2,0.3899,0,10,10
Y4C_05vIb2E,Deacon - Love For The Summer (Lyrics) feat. Loren Gray,"Oct 30, 2020",190,2,0.0421,0,12,16.67
9p6lJOukNxo,"YUNA, Martin Van Lectro, Monroe & Moralezz - Love Like Fire feat. Jetason","Jan 22, 2022",141,2,0.0353,,18,11.11
jrI11EzpAH0,AP Dhillon X Shreya Ghoshal - Thodi Si Daaru,"Jul 18, 2025",181,2,0.1005,0,12,0
sV4wZqxZ2Dg,Robin Schulz - One With The Wolves,"Aug 27, 2023",181,2,0.0353,0,27,3.7
1nsZEdBoczc,remme & Clara Mae - half a world away,"Feb 6, 2022",210,2,0.0005,0,5,0
T6SigEN3-TI,Arijit Singh & Manan Bhardwaj - Oonchi Oonchi Deewarein,"Sep 25, 2023",252,1,0.0698,0,1,0
eCbsPqEYepM,Rival - Know The Way (Lyrics) feat. Nick Smith,"Sep 22, 2020",193,1,0.0508,,10,10
sxlQNzHbEng,Caslow & Exede - City Lights (Lyrics),"Oct 2, 2020",188,1,0.0083,0,6,0
UMd6_1sEKyA,Your Paris - Rooms (Lyrics),"Nov 7, 2020",190,1,0.0009,0,6,16.67
hbuopok4Loo,Your Paris - The Internet (Lyrics),"Jul 24, 2020",188,1,0.009,0,14,0
pR37scAnEyU,Deacon - Love For The Summer (Music Video) ft. Loren Gray,"Oct 30, 2020",188,1,0.0521,,28,3.57
